stage,dpir_nominal,dpir_oracle_blur,drunet_denoise_only,gradient_nominal,observed,nominal_minus_classical_db
linear_float,31.31487105298187,34.78239409765468,29.902404046245618,30.820967763282635,29.74378544546722,0.4939032896992366
clipped_float,31.314841630419032,34.782553676194944,29.902379063269866,30.82118933964736,29.74378544546722,0.4936522907716707
quantized_8bit,31.315849771483787,34.77763830426624,29.90245621246688,30.81727428476952,29.738776562373708,0.498575486714266
jpeg_q75,30.05739175111665,30.15313760390911,29.756068249720045,30.469349006350942,29.67759480617228,-0.4119572552342916
