chain_id,dpir_nominal_mean_detail_mse,fbcnn_dpir_nominal_mean_detail_mse,relative_detail_mse_reduction,chain_role
q8_b16_n2,1.107117040149789e-05,1.1350774945691735e-05,-0.02525519290679647,uncompressed control
j90_b16_n2,1.4229421484831504e-05,1.1695448250451772e-05,0.17807984935163634,JPEG acquisition chain
j75_b12_n2,0.0001761935489972,8.332917226891245e-06,0.9527058892092373,JPEG acquisition chain
j75_b16_n2,0.0001295271364437,1.2783605059686664e-05,0.9013055842144463,JPEG acquisition chain
j75_b20_n2,0.0001011760922604,1.825266108913196e-05,0.8195951169753173,JPEG acquisition chain
j75_b16_n5,0.0006054366821407,6.025816226325525e-05,0.9004715702884161,JPEG acquisition chain
j50_b16_n2,0.000728796967776,1.449450933716732e-05,0.9801117321036628,JPEG acquisition chain
