member_index,member_seed,epoch,fit_weighted_bce,early_stop_source_macro_brier,best_so_far
1,2026092102,1,1.0426324057791914,0.6218186684307598,True
1,2026092102,2,0.8588034040857475,0.4486807164336954,True
1,2026092102,3,0.8097854413419634,0.1861747952089423,True
1,2026092102,4,0.7591760926828771,0.5252015726374729,False
1,2026092102,5,0.7111743603075681,0.1970936645520851,False
1,2026092102,6,0.6777790751625467,0.20085128913411784,False
1,2026092102,7,0.6366043001679438,0.1377302464984712,True
1,2026092102,8,0.6028470078503693,0.10206530690110023,True
1,2026092102,9,0.6031493693257549,0.16758043573437528,False
1,2026092102,10,0.5944869497657886,0.31355401093051544,False
1,2026092102,11,0.5655422666478533,0.13795160664068093,False
1,2026092102,12,0.5272716086173614,0.10937336361773,False
1,2026092102,13,0.5292373226755964,0.1400185016017141,False
