member_index,member_seed,epoch,fit_weighted_bce,early_stop_source_macro_brier,best_so_far
4,2026092105,1,1.0507521495263983,0.21116964022318518,True
4,2026092105,2,0.8779779032363997,0.12152313563867556,True
4,2026092105,3,0.8344656939587587,0.1771758290429023,False
4,2026092105,4,0.7394165836612356,0.3276702410408428,False
4,2026092105,5,0.7040721292372097,0.09959819903347773,True
4,2026092105,6,0.6776428726338014,0.19456725976695974,False
4,2026092105,7,0.6392405590779342,0.24721303981329715,False
4,2026092105,8,0.6189743041695392,0.13066662564441295,False
4,2026092105,9,0.5596818291981306,0.0978978096460369,True
4,2026092105,10,0.5672098478650326,0.22747623024597052,False
4,2026092105,11,0.5401947232792256,0.13154973341373816,False
4,2026092105,12,0.5235452390708295,0.15091301946778823,False
4,2026092105,13,0.5121168799769993,0.11330027151546218,False
4,2026092105,14,0.5203148285451519,0.1668445332283487,False
