member_index,member_seed,epoch,fit_weighted_bce,early_stop_source_macro_brier,best_so_far
2,2026092103,1,1.041500704281114,0.3947961310013419,True
2,2026092103,2,0.9011975593742106,0.11775340765182461,True
2,2026092103,3,0.8077292568408526,0.21650270306106123,False
2,2026092103,4,0.7529683523903509,0.1857816530391574,False
2,2026092103,5,0.7392835447534019,0.4378735804486842,False
2,2026092103,6,0.6858410048068265,0.15921818442820082,False
2,2026092103,7,0.6815942363598599,0.11736463920013712,True
2,2026092103,8,0.6494793756378835,0.15589130344978044,False
2,2026092103,9,0.6391211152281407,0.35096580907702446,False
2,2026092103,10,0.5960931667551439,0.11424374724793736,True
2,2026092103,11,0.5630107450050783,0.16000782164545463,False
2,2026092103,12,0.5461949130627685,0.1869266717472956,False
2,2026092103,13,0.5274204777778833,0.1091974160850181,True
2,2026092103,14,0.4995835915906355,0.11922549640127855,False
2,2026092103,15,0.49720253355693644,0.11380000931898221,False
2,2026092103,16,0.47426002030900505,0.18898186373103054,False
2,2026092103,17,0.44800790821606357,0.10300282321159533,True
2,2026092103,18,0.4530990372301888,0.12819001809042502,False
2,2026092103,19,0.4262355855515145,0.09976305909038359,True
2,2026092103,20,0.41699597361794377,0.09756558166347012,True
2,2026092103,21,0.423660492738146,0.11038418034565567,False
2,2026092103,22,0.38969111430028885,0.10166004142943814,False
2,2026092103,23,0.4092885268900728,0.0934135878113964,True
2,2026092103,24,0.3775955990934233,0.10260693790578877,False
2,2026092103,25,0.3651081691099495,0.3168842184046904,False
2,2026092103,26,0.346453654315645,0.09474075913690934,False
2,2026092103,27,0.3427650610645107,0.1108519256829043,False
2,2026092103,28,0.33191060042392545,0.10205692182000263,False
