scenario,model,operator_info,mean_mse,mean_image_psnr_db,sources,rows,pooled_psnr_db
blur_noise,gradient,nominal,0.0009358292722372891,31.25841750626581,4,24,30.288033744331084
blur_noise,gradient,oracle_blur,0.000731580610509438,32.35607026434827,4,24,31.357378133929238
blur_noise,observed,none,0.0012169030945622236,29.888079559883835,4,24,29.147440044918262
blur_noise,ridge,nominal,0.0017455955900171252,27.934730331392384,4,24,27.580563639335786
blur_noise,ridge,oracle_blur,0.0012043793478514102,30.090180429464194,4,24,29.192367001794302
blur_noise,smooth_0.5px,none,0.0011329753467701471,30.294419326470848,4,24,29.45779540161469
blur_noise_jpeg,gradient,nominal,0.0009664533377454434,31.0152897874141,4,24,30.148191097149727
blur_noise_jpeg,gradient,oracle_blur,0.0008046619263723703,31.78187527503211,4,24,30.9438654739626
blur_noise_jpeg,observed,none,0.0011135294693151558,30.343789875461468,4,24,29.532982849688715
blur_noise_jpeg,ridge,nominal,0.0016674823717830764,28.104176186887212,4,24,27.7793874864248
blur_noise_jpeg,ridge,oracle_blur,0.0011612578083434074,29.830306696765998,4,24,29.350713527752205
blur_noise_jpeg,smooth_0.5px,none,0.001144443803144791,30.23218124611132,4,24,29.414055280950077
