source_id,true_sigma,noise_std,scenario,model,strength,region,score,coverage,retained_patches,available_patches,mse
0801,1.2,0.00784313725490196,blur_noise,ridge,0.05,textured_quartile,random_expected,1.0,256,256,0.000984062315222079
0801,1.2,0.00784313725490196,blur_noise,ridge,0.05,textured_quartile,oracle_error,1.0,256,256,0.0009840623152220793
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,operator_spread,0.5,512,1024,8.188936445712088e-05
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_noise_spread,0.5,512,1024,0.0002334850291658688
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_residual,0.5,512,1024,9.996600640670738e-05
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,image_gradient,0.5,512,1024,9.442247718689713e-05
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,random_expected,0.5,512,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,oracle_error,0.5,512,1024,6.366819598521944e-05
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,operator_spread,0.75,768,1024,0.00010818160732442492
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_noise_spread,0.75,768,1024,0.00021579122827819602
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_residual,0.75,768,1024,0.00011368481482360145
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,image_gradient,0.75,768,1024,0.00011454472354836854
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,random_expected,0.75,768,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,oracle_error,0.75,768,1024,8.393350898712374e-05
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,operator_spread,0.9,922,1024,0.00013985857355291464
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_noise_spread,0.9,922,1024,0.00021755085925036994
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_residual,0.9,922,1024,0.000137396922205015
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,image_gradient,0.9,922,1024,0.00013983611322594978
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,random_expected,0.9,922,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,oracle_error,0.9,922,1024,0.00012612130595009364
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,operator_spread,1.0,1024,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_noise_spread,1.0,1024,1024,0.00021511488496913357
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,measurement_residual,1.0,1024,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,image_gradient,1.0,1024,1024,0.0002151148849691336
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,random_expected,1.0,1024,1024,0.00021511488496913354
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,all,oracle_error,1.0,1024,1024,0.00021511488496913357
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,operator_spread,0.5,128,256,0.0003123691345622576
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_noise_spread,0.5,128,256,0.0005781225326721175
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_residual,0.5,128,256,0.00028313239508426843
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,image_gradient,0.5,128,256,0.0003282966974852431
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,random_expected,0.5,128,256,0.0005641641176133583
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,oracle_error,0.5,128,256,0.00021504530597281894
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,operator_spread,0.75,192,256,0.0004085239062255848
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_noise_spread,0.75,192,256,0.000566845421007807
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_residual,0.75,192,256,0.0003725578679110316
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,image_gradient,0.75,192,256,0.0004054493903433524
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,random_expected,0.75,192,256,0.0005641641176133583
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,oracle_error,0.75,192,256,0.0003402426191948902
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,operator_spread,0.9,231,256,0.0004847660803019701
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_noise_spread,0.9,231,256,0.0005725730932224891
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,measurement_residual,0.9,231,256,0.0004608481344580317
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,image_gradient,0.9,231,256,0.00048601729145961235
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,random_expected,0.9,231,256,0.0005641641176133583
0801,1.2,0.00784313725490196,blur_noise,gradient,0.05,textured_quartile,oracle_error,0.9,231,256,0.00044599261562948037
