source_id,true_sigma,noise_std,scenario,model,operator_info,strength,mse,psnr_db,inverse_seconds,tuning_sources
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.00021511488496913357,36.673295373749866,0.021333810000214726,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.00026137638827790686,35.82733647450855,0.020408140000654384,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.00041903878695610536,33.77745776123483,0.021806533997732913,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.00038560112519438975,34.13861707484452,0.01878617799957283,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.0004023844832053559,33.953587749407504,0.01613912200264167,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.00043308017122319005,33.634317001895525,0.021532891998504056,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0006064318610494812,32.17217989575077,0.016439562998129986,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.0005604860606349335,32.51435183897926,0.01692198099772213,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.0006276942818912379,32.02251827625207,0.01702429199940525,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise_jpeg,gradient,nominal,0.05,0.0006471613044299987,31.88987458291539,0.01681883000128437,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise,gradient,nominal,0.05,0.0008318501912634467,30.79954879196938,0.018893797001510393,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise_jpeg,gradient,nominal,0.05,0.0007778655507123849,31.090954616602385,0.01817913700142526,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.00019278407638178947,37.149288408954206,0.02162260400291416,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.05,0.00024316335471528754,36.141018736595015,0.019392278998566326,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise,gradient,oracle_blur,0.05,0.00037497109229040593,34.26002212119428,0.020640321999962907,0802;0803;0804
0801,1.2,0.0196078431372549,blur_noise_jpeg,gradient,oracle_blur,0.05,0.0003748406346417746,34.26153335489361,0.018962447000376415,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.0002882526822929542,35.40226642751012,0.016300637998938328,0802;0803;0804
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.05,0.00033297212602005595,34.77592120915172,0.016056009000749327,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise,gradient,oracle_blur,0.05,0.0004444137819233792,33.52212481413294,0.0174154960004671,0802;0803;0804
0801,1.6,0.0196078431372549,blur_noise_jpeg,gradient,oracle_blur,0.05,0.0004751085110899542,33.23207189563337,0.01646421899931738,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise,gradient,oracle_blur,0.05,0.0003878409730011447,34.11346312306463,0.016315040000336012,0802;0803;0804
0801,2.0,0.00784313725490196,blur_noise_jpeg,gradient,oracle_blur,0.05,0.0004310042092685049,33.65518488416628,0.016098000000056345,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise,gradient,oracle_blur,0.05,0.0005288611234298975,32.766583567859364,0.01988301899837097,0802;0803;0804
0801,2.0,0.0196078431372549,blur_noise_jpeg,gradient,oracle_blur,0.05,0.0005756332876549756,32.39854099678336,0.017884054002934135,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.05,0.0010555427854123335,29.765241582901133,0.08596433600177988,0802;0803;0804
0801,1.2,0.00784313725490196,blur_noise_jpeg,ridge,nominal,0.05,0.0010768522095918316,29.67843896481948,0.017539817999931984,0802;0803;0804
