source_id,true_sigma,noise_std,scenario,model,operator_info,strength,mse,psnr_db,inverse_seconds
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,1e-05,0.127292174016909,8.951982961558425,0.05268242599777295
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.0001,0.03418649565641949,14.661454149998477,0.025857802997052204
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.0005,0.008920724216179026,20.49599886619072,0.040742851997492835
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.002,0.0024779867403086383,26.059010218607614,0.02058610200037947
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.01,0.0006260357429658914,32.034008704162325,0.02012712800205918
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.05,0.0010555427854123335,29.765241582901133,0.08596433600177988
0801,1.2,0.00784313725490196,blur_noise,ridge,nominal,0.2,0.010062977887667007,19.97273481625459,0.04242988899932243
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,1e-05,0.05193631010528158,12.845289087275042,0.02625936299955356
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.0001,0.009254326166329672,20.336551979698065,0.021565891001955606
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.0005,0.002293685943901677,26.394660468391425,0.021823127997777192
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.002,0.000726762791744064,31.386073154777677,0.02200225200067507
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.01,0.0002748291043297401,35.60937277505851,0.02103753399933339
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.05,0.00021511488496913357,36.673295373749866,0.021333810000214726
0801,1.2,0.00784313725490196,blur_noise,gradient,nominal,0.2,0.0002839115813081029,35.4681689139237,0.02027248100057477
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,1e-05,0.13976905010149476,8.545889863745149,0.020867463998001767
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.0001,0.02810789844509423,15.511716242544596,0.022956321998208296
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.0005,0.006506762132078267,21.866350694939094,0.021249806002742844
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.002,0.0017229475860829338,27.63727934055855,0.02119477599990205
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.01,0.0004406070869973286,33.55948521667594,0.10154704500018852
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.05,0.0009946851036727279,30.02314385970184,0.032406549998995615
0801,1.2,0.00784313725490196,blur_noise,ridge,oracle_blur,0.2,0.010034731157978151,19.98494258270726,0.024429304998193402
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,1e-05,0.053998945312420076,12.676147225746101,0.02068924299965147
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.0001,0.007973043665397911,20.98375857430607,0.022211628998775268
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.0005,0.0019245744897848896,27.156652750726526,0.022386143999028718
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.002,0.0006026958119053954,32.199018264061486,0.023403769002470654
0801,1.2,0.00784313725490196,blur_noise,gradient,oracle_blur,0.01,0.0002280802922568975,36.41912239203171,0.02067488199827494
