stage,model,mean_mse,mean_detail_mse,sources,pooled_psnr_db
jpeg_q75,dpir_nominal,0.000986872098879169,0.0005126494802823363,4,30.057391293469287
jpeg_q75,fbcnn,0.001051673152017847,0.0003858870627452862,4,29.781192129681497
jpeg_q75,fbcnn_dpir,0.0008039785546836287,0.0003495773214535598,4,30.947555354639576
jpeg_q75,fbcnn_gradient,0.0008631884309193701,0.0003651317140592376,4,30.638943890173937
jpeg_q75,gradient_nominal,0.0008975633263123714,0.0003790745563401824,4,30.469349006350942
jpeg_q75,observed,0.0010770615427735124,0.00040199890593297256,4,29.67759480617228
quantized_8bit,dpir_nominal,0.0007386096890492143,0.00033715194941393907,4,31.31584999591879
quantized_8bit,fbcnn,0.0010209203758149272,0.00038551744025639974,4,29.91008128327069
quantized_8bit,fbcnn_dpir,0.0007531134493998979,0.0003400608737261497,4,31.23139596525592
quantized_8bit,fbcnn_gradient,0.0008179829018141176,0.0003590182851906523,4,30.872557742325736
quantized_8bit,gradient_nominal,0.0008284619591490071,0.00036650724877186023,4,30.81727428476952
quantized_8bit,observed,0.001061994686319815,0.0004243767850998052,4,29.738776562373708
