source_id,stage,pipeline,region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0801,quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.5,256,128,0.0005438822991086433,0.00022708701003041856,0.015625,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.75,256,192,0.0006853693810981175,0.00027966185124139313,0.07291666666666667,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,0.9,256,231,0.0008346375314853904,0.0003380828645795759,0.14285714285714285,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,operator_spread_rgb,1.0,256,256,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.5,256,128,0.0009448441226886303,0.00034935946024232487,0.171875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.75,256,192,0.0009725942852661174,0.00037522937969768885,0.1875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,0.9,256,231,0.0009875495415785896,0.0003795136533123041,0.19047619047619047,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,measurement_residual,1.0,256,256,0.0010175928189274043,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.5,256,128,0.0005877158979097082,0.00023963668506181746,0.03125,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.75,256,192,0.0006996149125128989,0.00027752961581149565,0.07291666666666667,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,image_gradient,0.9,256,231,0.0008711140040297687,0.00034265022516267546,0.1471861471861472,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,image_gradient,1.0,256,256,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.5,256,128,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.75,256,192,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,random_expected,0.9,256,231,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,random_expected,1.0,256,256,0.0010175928189274045,0.0003918680223272922,0.19921875,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.5,256,128,0.0004475280317225955,0.00012640023435318398,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.75,256,192,0.0006448488958341862,0.00022669336740886088,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,0.9,256,231,0.0008252047675120706,0.0003039946273045791,0.11255411255411256,0.0,0.0
0801,quantized_8bit,dpir_nominal,textured_quartile,oracle_detail_error,1.0,256,256,0.0010175928189274045,0.0003918680223272921,0.19921875,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.5,1024,512,8.444768198235207e-05,3.232507607386365e-05,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.75,1024,768,0.0001336485444438458,5.133740990446208e-05,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,operator_spread_detail,0.9,1024,922,0.00020386127183992463,7.66538626905471e-05,0.0010845986984815619,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,operator_spread_detail,1.0,1024,1024,0.00036209634044379106,0.00013712293154409698,0.05078125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,0.5,1024,512,9.815312562935011e-05,4.070795248484874e-05,0.0,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,all,image_transform_spread_detail,0.75,1024,768,0.00014770302917435638,5.9737278835987334e-05,0.0,0.0,0.0
