source_id,stage,component,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,quantized_8bit,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00026349956169724464,0.00026046769926324487
0801,quantized_8bit,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.121698268339969e-05,0.00016013268032111228
0801,quantized_8bit,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.7472389774629846e-05,0.00010872629354707897
0801,quantized_8bit,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.4462288163485937e-05,8.286630327347666e-05
0801,quantized_8bit,dpir_nominal,5,0.014825660735368729,0.03089204803109169,7.767777788103558e-06,7.024465594440699e-05
0801,quantized_8bit,dpir_nominal,6,0.03697589039802551,0.019561151042580605,4.172084572928725e-06,6.384768494172022e-05
0801,quantized_8bit,dpir_nominal,7,0.09221960604190826,0.012386314570903778,1.993927526200423e-06,6.0643869801424444e-05
0801,quantized_8bit,dpir_nominal,8,0.22999997437000275,0.007843137718737125,7.669177080060763e-07,5.9061028878204525e-05
0801,quantized_8bit,dpir_nominal_sigma08,1,0.0003831736685242504,0.1921568661928177,0.000270872435066849,0.0002733111323323101
0801,quantized_8bit,dpir_nominal_sigma08,2,0.0009556531440466642,0.12167562544345856,4.933007585350424e-05,0.0001679555862210691
0801,quantized_8bit,dpir_nominal_sigma08,3,0.0023834437597543,0.07704620808362961,2.6185798560618423e-05,0.00011302375787636265
0801,quantized_8bit,dpir_nominal_sigma08,4,0.005944420117884874,0.04878642410039902,1.3394676898315083e-05,8.540281851310283e-05
0801,quantized_8bit,dpir_nominal_sigma08,5,0.014825660735368729,0.03089204803109169,6.7983532971993554e-06,7.192799239419401e-05
0801,quantized_8bit,dpir_nominal_sigma08,6,0.03697589039802551,0.019561151042580605,3.7090499063197058e-06,6.484090408775955e-05
0801,quantized_8bit,dpir_nominal_sigma08,7,0.09221960604190826,0.012386314570903778,2.051712726824917e-06,6.0828500863863155e-05
0801,quantized_8bit,dpir_nominal_sigma08,8,0.22999997437000275,0.007843137718737125,8.469669410260394e-07,5.8658999478211626e-05
0801,quantized_8bit,dpir_nominal_sigma12,1,0.0003831736685242504,0.1921568661928177,0.0002729204425122589,0.0002480198454577476
0801,quantized_8bit,dpir_nominal_sigma12,2,0.0009556531440466642,0.12167562544345856,5.602954843197949e-05,0.0001520938822068274
0801,quantized_8bit,dpir_nominal_sigma12,3,0.0023834437597543,0.07704620808362961,3.041209674847778e-05,0.00010392454714747146
0801,quantized_8bit,dpir_nominal_sigma12,4,0.005944420117884874,0.04878642410039902,1.6674099242663942e-05,7.994604675332084e-05
0801,quantized_8bit,dpir_nominal_sigma12,5,0.014825660735368729,0.03089204803109169,9.019672688737046e-06,6.853142258478329e-05
0801,quantized_8bit,dpir_nominal_sigma12,6,0.03697589039802551,0.019561151042580605,4.311006705393083e-06,6.31856091786176e-05
0801,quantized_8bit,dpir_nominal_sigma12,7,0.09221960604190826,0.012386314570903778,1.8718397996053682e-06,6.072227188269608e-05
0801,quantized_8bit,dpir_nominal_sigma12,8,0.22999997437000275,0.007843137718737125,7.387536697933683e-07,5.950733975623734e-05
0801,quantized_8bit,dpir_nominal_rot90,1,0.0003831736685242504,0.1921568661928177,0.0002630021481309086,0.0002599886211100966
0801,quantized_8bit,dpir_nominal_rot90,2,0.0009556531440466642,0.12167562544345856,5.0515311158960685e-05,0.00015985134814400226
0801,quantized_8bit,dpir_nominal_rot90,3,0.0023834437597543,0.07704620808362961,2.746273275988642e-05,0.00010839895548997447
