source_id,stage,component,elapsed_seconds,denoiser_calls,fbcnn_calls,peak_cuda_memory_mb,input_height,input_width,clipped_fraction,peak_cuda_allocated_mib,process_peak_rss_mib
0802,jpeg_q75,gradient_nominal,0.0687129999996614,0,0,,,,,,
0802,jpeg_q75,fbcnn,0.18394639200005258,0,1,834.951171875,,,,,
0802,jpeg_q75,fbcnn_rot90_intermediate,0.18650686699993457,0,1,834.951171875,,,,,
0802,jpeg_q75,fbcnn_rot180_intermediate,0.18726196899979186,0,1,834.951171875,,,,,
0802,jpeg_q75,fbcnn_gradient_inverse_only,0.057612756000253285,0,0,,,,,,
0802,jpeg_q75,dpir_nominal,1.075264977000188,8,0,,576.0,576.0,0.004227751865983009,942.99169921875,1980.68359375
0802,jpeg_q75,dpir_nominal_sigma08,1.0828932009999335,8,0,,576.0,576.0,0.002603161847218871,942.99169921875,1980.68359375
0802,jpeg_q75,dpir_nominal_sigma12,1.0863697539998611,8,0,,576.0,576.0,0.005949797108769417,942.99169921875,1980.68359375
0802,jpeg_q75,dpir_nominal_rot90,1.0853946759998507,8,0,,576.0,576.0,0.003908259328454733,942.99169921875,1980.68359375
0802,jpeg_q75,dpir_nominal_rot180,1.0900756109999747,8,0,,576.0,576.0,0.0038530011661350727,942.99169921875,1980.68359375
0802,jpeg_q75,fbcnn_dpir,1.0900374510001711,8,0,,576.0,576.0,0.00048828122089616954,942.99169921875,1980.68359375
0802,jpeg_q75,fbcnn_dpir_sigma08,1.0922903090004183,8,0,,576.0,576.0,0.00018888244812842458,942.99169921875,1980.68359375
0802,jpeg_q75,fbcnn_dpir_sigma12,1.0864283900000373,8,0,,576.0,576.0,0.0005244502099230886,942.99169921875,1980.68359375
0802,jpeg_q75,fbcnn_dpir_rot90,1.0922630860000027,8,0,,576.0,576.0,0.000332553667249158,942.99169921875,1980.68359375
0802,jpeg_q75,fbcnn_dpir_rot180,1.0909553450001113,8,0,,576.0,576.0,0.0003938400186598301,942.99169921875,1980.68359375
0803,quantized_8bit,gradient_nominal,0.0672481209999205,0,0,,,,,,
0803,quantized_8bit,fbcnn,0.18465653600014775,0,1,834.951171875,,,,,
0803,quantized_8bit,fbcnn_rot90_intermediate,0.18737863700016533,0,1,834.951171875,,,,,
0803,quantized_8bit,fbcnn_rot180_intermediate,0.18529219499987448,0,1,834.951171875,,,,,
0803,quantized_8bit,fbcnn_gradient_inverse_only,0.057390566999856674,0,0,,,,,,
0803,quantized_8bit,dpir_nominal,1.092385909999848,8,0,,576.0,576.0,1.0046938996310928e-06,942.99169921875,1980.71875
0803,quantized_8bit,dpir_nominal_sigma08,1.0906347969998933,8,0,,576.0,576.0,0.0,942.99169921875,1980.71875
