stage,pipeline,region,score,coverage,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
jpeg_q75,dpir_nominal,textured_quartile,measurement_residual,0.9,0.002378381070347777,0.0012394508745502313,0.49783549783549785,0.14610389610389612,0.0010822510822510823
jpeg_q75,dpir_nominal,textured_quartile,measurement_residual,1.0,0.0024578789636967684,0.001284744967161631,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_detail,0.5,0.0016732987346124253,0.0007792270904831382,0.330078125,0.064453125,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_detail,0.75,0.0018633058142068601,0.0008616069225910304,0.38541666666666663,0.078125,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_detail,0.9,0.0021087260823675234,0.0010013909863552527,0.461038961038961,0.10173160173160174,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_detail,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_rgb,0.5,0.0015991447478750323,0.0007518147189606103,0.31640625,0.060546875,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_rgb,0.75,0.0018336137080111198,0.0008534840500460422,0.3841145833333333,0.07682291666666667,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_rgb,0.9,0.0021073253439154375,0.0010036060968214528,0.45995670995670995,0.10281385281385282,0.0
jpeg_q75,dpir_nominal,textured_quartile,operator_spread_rgb,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,oracle_detail_error,0.5,0.0013873199667393788,0.0006070119282843937,0.2421875,0.0,0.0
jpeg_q75,dpir_nominal,textured_quartile,oracle_detail_error,0.75,0.0017349095920926626,0.0007886643708403609,0.34375,0.06640625,0.0
jpeg_q75,dpir_nominal,textured_quartile,oracle_detail_error,0.9,0.00204710228977648,0.0009705834679588429,0.4545454545454546,0.0984848484848485,0.0
jpeg_q75,dpir_nominal,textured_quartile,oracle_detail_error,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,random_expected,0.5,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,random_expected,0.75,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,random_expected,0.9,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,dpir_nominal,textured_quartile,random_expected,1.0,0.0024578789636967684,0.0012847449671616307,0.5078125,0.15625,0.001953125
jpeg_q75,fbcnn_dpir,all,image_gradient,0.5,0.00031679781061495966,0.00014740680208563808,0.03759765625,0.0029296875,0.0
jpeg_q75,fbcnn_dpir,all,image_gradient,0.75,0.0005068156897957746,0.00023313839129777028,0.08854166666666667,0.008463541666666666,0.0
jpeg_q75,fbcnn_dpir,all,image_gradient,0.9,0.0006382943437553293,0.0002851211334734025,0.12093275488069415,0.011659436008676789,0.0
jpeg_q75,fbcnn_dpir,all,image_gradient,1.0,0.0008039785546836288,0.00034957732145355974,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,image_transform_spread_detail,0.5,0.0002636059517393244,0.00011783890241774778,0.0244140625,0.0,0.0
jpeg_q75,fbcnn_dpir,all,image_transform_spread_detail,0.75,0.00044775601782703434,0.00019770716561019454,0.07649739583333333,0.0029296875,0.0
jpeg_q75,fbcnn_dpir,all,image_transform_spread_detail,0.9,0.0006183475284115005,0.0002705865063936409,0.11740780911062906,0.008676789587852495,0.0
jpeg_q75,fbcnn_dpir,all,image_transform_spread_detail,1.0,0.0008039785546836288,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,measurement_residual,0.5,0.00034606710973155797,0.0001552522478657792,0.05126953125,0.00146484375,0.0
jpeg_q75,fbcnn_dpir,all,measurement_residual,0.75,0.0005173169319254758,0.00023015170168522804,0.09212239583333333,0.005859375,0.0
jpeg_q75,fbcnn_dpir,all,measurement_residual,0.9,0.0006645760370586134,0.0002932452796678858,0.1301518438177874,0.0113882863340564,0.0
jpeg_q75,fbcnn_dpir,all,measurement_residual,1.0,0.0008039785546836288,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_detail,0.5,0.0002384419543276515,0.00010497068931933125,0.015625,0.0,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_detail,0.75,0.00041282152824758756,0.000181504986608955,0.06868489583333333,0.0016276041666666667,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_detail,0.9,0.0005841382645547069,0.00025802194111978615,0.10900216919739696,0.0070498915401301515,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_detail,1.0,0.0008039785546836288,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_rgb,0.5,0.0002477580226297568,0.00011111363412388458,0.017578125,0.0,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_rgb,0.75,0.0004240897246620856,0.00018936467209950357,0.07194010416666667,0.0022786458333333335,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_rgb,0.9,0.000588590816483648,0.0002606227474290982,0.11062906724511931,0.0070498915401301515,0.0
jpeg_q75,fbcnn_dpir,all,operator_spread_rgb,1.0,0.0008039785546836288,0.0003495773214535598,0.159423828125,0.0185546875,0.0
jpeg_q75,fbcnn_dpir,all,oracle_detail_error,0.5,0.00021106131293123376,8.356175121565997e-05,0.0,0.0,0.0
