threshold_rmse,threshold_origin,patch_rows,positive_patches,patch_prevalence,source_macro_prevalence,source_bootstrap_ci_low,source_bootstrap_ci_high,sources_with_positive_event,source_count
0.015,Stage 06A exploratory,229376,157725,0.6876264299665179,0.6876264299665178,0.5967832292829242,0.7747671944754464,32,32
0.02,Stage 06A exploratory,229376,137231,0.5982796805245536,0.5982796805245536,0.49989013671875,0.692633056640625,32,32
0.025,predeclared pilot sensitivity,229376,117803,0.513580322265625,0.513580322265625,0.41265869140625,0.6088267735072544,32,32
0.03,Stage 06A exploratory,229376,99778,0.43499755859375,0.43499755859375,0.3334435599190848,0.5356139046805245,32,32
0.04,Stage 06A exploratory,229376,72338,0.31536865234375,0.31536865234375,0.22556239536830355,0.4088839939662388,32,32
0.05,locked Stage 05 target,229376,50824,0.22157505580357142,0.22157505580357142,0.14825308663504463,0.2980557032993861,32,32
0.075,Stage 06A exploratory,229376,13555,0.05909511021205357,0.059095110212053575,0.03410448346819196,0.08797389439174107,27,32
0.1,predeclared pilot sensitivity,229376,2605,0.011356898716517858,0.011356898716517856,0.0041851588657924104,0.021013641357421873,20,32
