source_id,stage,stage_index,model,mse,psnr_db,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0801,linear_float,0,observed,0.0005517382981011453,32.58266869084283,0.0001973661827290087,0.0703125,0.0009765625,0.0
0801,linear_float,0,gradient_nominal,0.00040238448320535603,33.953587749407504,0.0001530425182053485,0.0537109375,0.0009765625,0.0
0801,linear_float,0,drunet_denoise_only,0.0005081697899717747,32.939911567562,0.00015455096743861198,0.0615234375,0.0009765625,0.0
0801,linear_float,0,dpir_nominal,0.00034826043643405256,34.580958600646426,0.00013528801732669296,0.0498046875,0.0,0.0
0801,linear_float,0,dpir_oracle_blur,0.00016456677485542575,37.83657841988086,9.912671429833074e-05,0.015625,0.0,0.0
0801,clipped_float,1,observed,0.0005517382981011453,32.58266869084283,0.0001973661827290087,0.0703125,0.0009765625,0.0
0801,clipped_float,1,gradient_nominal,0.00040238085310318253,33.95362692935902,0.0001530410235936804,0.0537109375,0.0009765625,0.0
0801,clipped_float,1,drunet_denoise_only,0.0005081702100005029,32.93990797789399,0.00015455102377037158,0.0615234375,0.0009765625,0.0
0801,clipped_float,1,dpir_nominal,0.00034826015266307796,34.58096213938369,0.00013528781424007076,0.0498046875,0.0,0.0
0801,clipped_float,1,dpir_oracle_blur,0.0001645649961998374,37.83662535915413,9.912582074506396e-05,0.015625,0.0,0.0
0801,quantized_8bit,2,observed,0.0005529998110514886,32.572750170846504,0.00019831548499507745,0.0703125,0.0009765625,0.0
0801,quantized_8bit,2,gradient_nominal,0.0004031678301951835,33.9451412866099,0.0001533444943355442,0.0537109375,0.0009765625,0.0
0801,quantized_8bit,2,drunet_denoise_only,0.000508189901610744,32.93973969191797,0.00015453466216506633,0.0615234375,0.0009765625,0.0
0801,quantized_8bit,2,dpir_nominal,0.00034820394771385737,34.581663094374534,0.00013526395687544273,0.0498046875,0.0,0.0
0801,quantized_8bit,2,dpir_oracle_blur,0.00016498295552684698,37.825609206527176,9.923717494132928e-05,0.017578125,0.0,0.0
