source_id,stage,stage_index,model,elapsed_seconds,denoiser_calls,input_height,input_width,clipped_fraction,peak_cuda_allocated_mib,process_peak_rss_mib
0804,linear_float,0,dpir_nominal,3.004988906000108,8,576.0,576.0,0.0,636.31298828125,1646.9296875
0804,linear_float,0,dpir_oracle_blur,2.920555379999996,8,576.0,576.0,8.238489681389183e-05,636.31298828125,1646.9296875
0804,linear_float,0,drunet_denoise_only,0.3678853530000197,1,576.0,576.0,1.0046938996310928e-06,618.43798828125,1646.9296875
0804,clipped_float,1,gradient_nominal,0.06314767800017762,0,,,,,
0804,clipped_float,1,dpir_nominal,2.9879999689999295,8,576.0,576.0,0.0,636.31298828125,1646.9296875
0804,clipped_float,1,dpir_oracle_blur,2.959838062000017,8,576.0,576.0,6.128632958279923e-05,636.31298828125,1646.9296875
0804,clipped_float,1,drunet_denoise_only,0.3745038399999885,1,576.0,576.0,0.0,618.43798828125,1646.9296875
0804,quantized_8bit,2,gradient_nominal,0.06817776799994135,0,,,,,
0804,quantized_8bit,2,dpir_nominal,3.0481082300000253,8,576.0,576.0,0.0,636.31298828125,1646.9296875
0804,quantized_8bit,2,dpir_oracle_blur,2.996007496999937,8,576.0,576.0,6.0281632613623515e-05,636.31298828125,1646.9296875
0804,quantized_8bit,2,drunet_denoise_only,0.3804173719997834,1,576.0,576.0,0.0,618.43798828125,1646.9296875
0804,jpeg_q75,3,gradient_nominal,0.0641009529999792,0,,,,,
0804,jpeg_q75,3,dpir_nominal,3.052469353000106,8,576.0,576.0,0.0007816518773324788,636.31298828125,1646.9296875
0804,jpeg_q75,3,dpir_oracle_blur,3.0482035720001477,8,576.0,576.0,0.0018596884328871965,636.31298828125,1646.9296875
0804,jpeg_q75,3,drunet_denoise_only,0.37741393999999673,1,576.0,576.0,1.0046938996310928e-06,618.43798828125,1646.9296875
