stage_index,stage,model,mean_mse,mean_detail_mse,sources,pooled_psnr_db
0,linear_float,dpir_nominal,0.0007387761977815553,0.00033720965973530175,4,31.31487105298187
0,linear_float,dpir_oracle_blur,0.0003324762214737254,0.00022527914360131372,4,34.78239409765468
0,linear_float,drunet_denoise_only,0.0010227267030408077,0.0003822540075438635,4,29.902404046245618
0,linear_float,gradient_nominal,0.0008277576891697347,0.00036622964994721327,4,30.820967763282635
0,linear_float,observed,0.0010607705535958063,0.0004234189343531792,4,29.74378544546722
1,clipped_float,dpir_nominal,0.0007387812028561396,0.0003372082729001094,4,31.314841630419032
1,clipped_float,dpir_oracle_blur,0.000332464005086559,0.00022526780189752695,4,34.782553676194944
1,clipped_float,drunet_denoise_only,0.001022732586336816,0.0003822536511288793,4,29.902379063269862
1,clipped_float,gradient_nominal,0.0008277154581793476,0.0003662104187652437,4,30.821189339647358
1,clipped_float,observed,0.0010607705535958063,0.0004234189343531792,4,29.74378544546722
2,quantized_8bit,dpir_nominal,0.0007386097272191374,0.0003371519569464401,4,31.315849771483787
2,quantized_8bit,dpir_oracle_blur,0.0003328405029342106,0.00022537146392056842,4,34.77763830426624
2,quantized_8bit,drunet_denoise_only,0.0010227144184115345,0.00038223882778562956,4,29.902456212466877
2,quantized_8bit,gradient_nominal,0.0008284619591490071,0.00036650724877186023,4,30.81727428476952
2,quantized_8bit,observed,0.001061994686319815,0.0004243767850998052,4,29.738776562373708
3,jpeg_q75,dpir_nominal,0.0009868719948853558,0.0005126493614309347,4,30.057391751116654
3,jpeg_q75,dpir_oracle_blur,0.0009653531979265334,0.0005056018845466892,4,30.15313760390911
3,jpeg_q75,drunet_denoise_only,0.0010577746993561338,0.0003886691268830723,4,29.756068249720045
3,jpeg_q75,gradient_nominal,0.0008975633263123714,0.0003790745563401824,4,30.469349006350942
3,jpeg_q75,observed,0.0010770615427735124,0.00040199890593297256,4,29.67759480617228
