source_id,stage,stage_index,model,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,linear_float,0,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00026246465859003365,0.00025932208518497646
0801,linear_float,0,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.125744064571336e-05,0.0001589449093444273
0801,linear_float,0,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.7494090318214148e-05,0.00010750978981377557
0801,linear_float,0,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.4448355614149477e-05,8.16629035398364e-05
0801,linear_float,0,dpir_nominal,5,0.014825660735368729,0.03089204803109169,7.752441888442263e-06,6.905529153300449e-05
0801,linear_float,0,dpir_nominal,6,0.03697589039802551,0.019561151042580605,4.153207555646077e-06,6.268099969020113e-05
0801,linear_float,0,dpir_nominal,7,0.09221960604190826,0.012386314570903778,1.9829026314255316e-06,5.950075501459651e-05
0801,linear_float,0,dpir_nominal,8,0.22999997437000275,0.007843137718737125,7.629604965586623e-07,5.793322270619683e-05
0801,linear_float,0,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.00043956568697467446,0.00021593214478343725
0801,linear_float,0,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,8.202603930840269e-05,0.00013255841622594744
0801,linear_float,0,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,4.326817361288704e-05,9.207426046486944e-05
0801,linear_float,0,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,2.3729347958578728e-05,7.299673598026857e-05
0801,linear_float,0,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.0498302799533121e-05,6.491815292974934e-05
0801,linear_float,0,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,4.075092419952853e-06,6.148346437839791e-05
0801,linear_float,0,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,1.7078292557926034e-06,5.9970356232952327e-05
0801,linear_float,0,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,7.752591955068056e-07,5.9159548982279375e-05
0801,clipped_float,1,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.0002624548797030002,0.0002593118406366557
0801,clipped_float,1,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.125753887114115e-05,0.0001589347521075979
0801,clipped_float,1,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.7493919333210215e-05,0.00010749999637482688
0801,clipped_float,1,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.4448160072788596e-05,8.165368490153924e-05
0801,clipped_float,1,dpir_nominal,5,0.014825660735368729,0.03089204803109169,7.75244006945286e-06,6.90463712089695e-05
0801,clipped_float,1,dpir_nominal,6,0.03697589039802551,0.019561151042580605,4.1531047827447765e-06,6.267242133617401e-05
0801,clipped_float,1,dpir_nominal,7,0.09221960604190826,0.012386314570903778,1.9828635231533553e-06,5.949246042291634e-05
0801,clipped_float,1,dpir_nominal,8,0.22999997437000275,0.007843137718737125,7.629300284861529e-07,5.792506271973252e-05
0801,clipped_float,1,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0004395484284032136,0.00021592204575426877
0801,clipped_float,1,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,8.202550816349685e-05,0.00013254843361210078
0801,clipped_float,1,dpir_oracle_blur,3,0.0023834437597543,0.07704620808362961,4.3268628360237926e-05,9.206463437294587e-05
0801,clipped_float,1,dpir_oracle_blur,4,0.005944420117884874,0.04878642410039902,2.3729100576019846e-05,7.298764830920845e-05
0801,clipped_float,1,dpir_oracle_blur,5,0.014825660735368729,0.03089204803109169,1.0498183655727189e-05,6.49095163680613e-05
0801,clipped_float,1,dpir_oracle_blur,6,0.03697589039802551,0.019561151042580605,4.074938715348253e-06,6.147502426756546e-05
0801,clipped_float,1,dpir_oracle_blur,7,0.09221960604190826,0.012386314570903778,1.7077271650123294e-06,5.9961977967759594e-05
0801,clipped_float,1,dpir_oracle_blur,8,0.22999997437000275,0.007843137718737125,7.752090596113703e-07,5.915119618293829e-05
0801,quantized_8bit,2,dpir_nominal,1,0.0003831736685242504,0.1921568661928177,0.00026349956169724464,0.00026046764105558395
0801,quantized_8bit,2,dpir_nominal,2,0.0009556531440466642,0.12167562544345856,5.121697540744208e-05,0.00016013265121728182
0801,quantized_8bit,2,dpir_nominal,3,0.0023834437597543,0.07704620808362961,2.7472384317661636e-05,0.00010872628627112135
0801,quantized_8bit,2,dpir_nominal,4,0.005944420117884874,0.04878642410039902,1.4462287253991235e-05,8.286630327347666e-05
0801,quantized_8bit,2,dpir_nominal,5,0.014825660735368729,0.03089204803109169,7.767775969114155e-06,7.024465594440699e-05
0801,quantized_8bit,2,dpir_nominal,6,0.03697589039802551,0.019561151042580605,4.172084572928725e-06,6.38476776657626e-05
0801,quantized_8bit,2,dpir_nominal,7,0.09221960604190826,0.012386314570903778,1.993926389332046e-06,6.0643869801424444e-05
0801,quantized_8bit,2,dpir_nominal,8,0.22999997437000275,0.007843137718737125,7.6691702588505e-07,5.906102524022572e-05
0801,quantized_8bit,2,dpir_oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0004410723631735891,0.00021707148698624223
0801,quantized_8bit,2,dpir_oracle_blur,2,0.0009556531440466642,0.12167562544345856,8.210297528421506e-05,0.00013374681293498725
