source_id,stage,pipeline,region,coverage,control,delta_rgb_mse,delta_detail_mse,delta_bad_detail_rate_0.025,delta_bad_detail_rate_0.05,delta_bad_detail_rate_0.1
0801,jpeg_q75,fbcnn_dpir,all,0.9,image_gradient,-1.2225167134389972e-05,-6.4441269266071315e-06,-0.005422993492407809,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,all,0.9,random_expected,-0.00016084726795715027,-6.134658886615829e-05,-0.05164977630151844,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,all,1.0,image_transform_spread_detail,0.0,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,all,1.0,measurement_residual,-5.421010862427522e-20,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,all,1.0,image_gradient,0.0,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,all,1.0,random_expected,0.0,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.5,image_transform_spread_detail,-7.766620441488313e-05,-4.154965588659606e-05,-0.0078125,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.5,measurement_residual,-0.0004566287945709101,-0.00021901062159769146,-0.171875,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.5,image_gradient,-8.918401404034893e-05,-4.772841628111773e-05,-0.0234375,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.5,random_expected,-0.0005291720664930451,-0.0002050880147962689,-0.203125,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.75,image_transform_spread_detail,-4.071545773023152e-05,-2.0696224474716057e-05,-0.026041666666666664,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.75,measurement_residual,-0.000336022326147886,-0.00014403139024374122,-0.15104166666666666,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.75,image_gradient,-6.375603862579613e-05,-3.0732547287341805e-05,-0.031249999999999993,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.75,random_expected,-0.0003792813354837743,-0.00014421957920173172,-0.15885416666666666,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.9,image_transform_spread_detail,-2.9394782741186723e-05,-4.835541180215675e-06,-0.00865800865800867,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.9,measurement_residual,-0.00014354772812408387,-5.688432413001899e-05,-0.06926406926406928,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.9,image_gradient,-5.4907358379733965e-05,-1.679487662920628e-05,-0.017316017316017313,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,0.9,random_expected,-0.00019904528278244808,-6.710344074838169e-05,-0.07240936147186147,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,1.0,image_transform_spread_detail,2.168404344971009e-19,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,1.0,measurement_residual,0.0,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,1.0,image_gradient,0.0,0.0,0.0,0.0,0.0
0801,jpeg_q75,fbcnn_dpir,textured_quartile,1.0,random_expected,2.168404344971009e-19,0.0,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.5,image_transform_spread_detail,-6.399191323249579e-06,-4.8645536423742346e-06,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.5,measurement_residual,-0.0003344002261517217,-0.00012653363326179073,-0.0625,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.5,image_gradient,-3.9441575333399104e-05,-2.554225355788082e-05,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.5,random_expected,-0.0002712827807473517,-0.00010507295581543785,-0.0498046875,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.75,image_transform_spread_detail,-1.1038505912029376e-05,-6.315475466786795e-06,0.0,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.75,measurement_residual,-0.0002539125344277817,-9.785760114653654e-05,-0.0546875,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.75,image_gradient,-2.915160594984261e-05,-1.6911672251049364e-05,-0.0026041666666666665,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.75,random_expected,-0.0002262684008163435,-8.721163413184343e-05,-0.0498046875,0.0,0.0
0801,quantized_8bit,dpir_nominal,all,0.9,image_transform_spread_detail,-9.221759124265956e-06,-5.7115378890667834e-06,-0.004338394793926247,0.0,0.0
