region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
textured_quartile,image_transform_spread_detail,0.9,256,231,0.0008555321334161159,0.0003397279264163914,0.1471861471861472,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,1.0,256,256,0.0010178015088865718,0.00039192339649931024,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.5,256,128,0.0005384055084845152,0.0002243937968371921,0.015625,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.75,256,192,0.0006853420454150232,0.000279627406645752,0.07291666666666667,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.9,256,231,0.0008348032423239312,0.0003381030377036292,0.14285714285714285,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,1.0,256,256,0.0010178015088865718,0.0003919233964993102,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.5,256,128,0.0010148947938530906,0.00038623260747592137,0.1875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.75,256,192,0.000972368478695962,0.0003748219150152612,0.1875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.9,256,231,0.0009834675035340491,0.00037772369608603663,0.18614718614718614,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,1.0,256,256,0.0010178015088865718,0.0003919233964993102,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.5,256,128,0.0005879675353316588,0.00023969033695240256,0.03125,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.75,256,192,0.0006997967024191834,0.000277566111647214,0.07291666666666667,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.9,256,231,0.0008713751050277108,0.00034278420238231946,0.1471861471861472,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,1.0,256,256,0.0010178015088865718,0.0003919233964993102,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.5,256,128,0.0010178015088865718,0.00039192339649931013,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.75,256,192,0.0010178015088865718,0.00039192339649931013,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.9,256,231,0.0010178015088865718,0.00039192339649931013,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,1.0,256,256,0.0010178015088865718,0.00039192339649931013,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.5,256,128,0.00044791966105508705,0.00012645331972583934,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.75,256,192,0.0006384035346849493,0.00022676690880779472,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.9,256,231,0.0008256196481062992,0.0003041384692545564,0.11255411255411256,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,1.0,256,256,0.0010178015088865718,0.0003919233964993102,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
