source_id,true_sigma,noise_std,scenario,variant,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,1.6,0.00784313725490196,blur_noise,nominal,1,0.0003831736685242504,0.1921568661928177,0.00026246471679769456,0.0002593219978734851
0801,1.6,0.00784313725490196,blur_noise,nominal,2,0.0009556531440466642,0.12167562544345856,5.125744792167097e-05,0.00015894485113676637
0801,1.6,0.00784313725490196,blur_noise,nominal,3,0.0023834437597543,0.07704620808362961,2.7494090318214148e-05,0.00010750978253781796
0801,1.6,0.00784313725490196,blur_noise,nominal,4,0.005944420117884874,0.04878642410039902,1.4448365618591197e-05,8.166289626387879e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,5,0.014825660735368729,0.03089204803109169,7.752438250463456e-06,6.905529153300449e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,6,0.03697589039802551,0.019561151042580605,4.1532130126142874e-06,6.268099241424352e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,7,0.09221960604190826,0.012386314570903778,1.9828989934467245e-06,5.950076229055412e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,8,0.22999997437000275,0.007843137718737125,7.629627702954167e-07,5.793322270619683e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.00043956615263596177,0.00021593208657577634
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,2,0.0009556531440466642,0.12167562544345856,8.202606113627553e-05,0.00013255838712211698
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,3,0.0023834437597543,0.07704620808362961,4.3268180888844654e-05,9.207424591295421e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,4,0.005944420117884874,0.04878642410039902,2.3729351596557535e-05,7.299672142835334e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,5,0.014825660735368729,0.03089204803109169,1.049830189003842e-05,6.491816020570695e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,6,0.03697589039802551,0.019561151042580605,4.075097876921063e-06,6.148346437839791e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,7,0.09221960604190826,0.012386314570903778,1.7078281189242261e-06,5.9970359870931134e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,8,0.22999997437000275,0.007843137718737125,7.752601050015073e-07,5.915955262025818e-05
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,1,0.0003831736685242504,0.1921568661928177,0.00026970254839397967,0.00027210303233005106
