source_id,true_sigma,noise_std,scenario,variant,elapsed_seconds,denoiser_calls,input_height,input_width,clipped_fraction,peak_cuda_allocated_mib,process_peak_rss_mib
0801,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.07737263800004257,0,,,,,
0801,1.6,0.00784313725490196,blur_noise,nominal,1.5186517409999851,8,576.0,576.0,0.0,636.62548828125,1462.38671875
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,1.0678878109999914,8,576.0,576.0,0.0003215020406059921,636.62548828125,1485.140625
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,1.0697527199999968,8,576.0,576.0,0.0,636.62548828125,1492.765625
0801,1.6,0.00784313725490196,blur_noise,operator_1.2,1.0684371380000357,8,576.0,576.0,0.0,636.62548828125,1500.39453125
0801,1.6,0.00784313725490196,blur_noise,rotation_90,1.0714383270000098,8,576.0,576.0,0.0,636.62548828125,1507.89453125
0801,1.6,0.00784313725490196,blur_noise,rotation_180,1.075133195000035,8,576.0,576.0,0.0,636.62548828125,1515.5234375
0801,1.6,0.00784313725490196,blur_noise,denoise_only,0.13261159400008182,1,576.0,576.0,0.0,618.43798828125,1523.15234375
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient_nominal,0.07328306699992027,0,,,,,
0801,1.6,0.00784313725490196,blur_noise_jpeg,nominal,1.0657877009999766,8,576.0,576.0,0.001252853311598301,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,oracle_blur,1.0745634140000675,8,576.0,576.0,0.0012518486473709345,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,operator_0.8,1.0737837249999984,8,576.0,576.0,0.00034561470965854824,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,operator_1.2,1.0743929849999176,8,576.0,576.0,0.0013623649720102549,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_90,1.0741154830000141,8,576.0,576.0,0.0012588814133778214,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,rotation_180,1.0751996290000534,8,576.0,576.0,0.0012538579758256674,636.62548828125,1601.78125
0801,1.6,0.00784313725490196,blur_noise_jpeg,denoise_only,0.13462083100000655,1,576.0,576.0,0.0,618.43798828125,1601.78125
0802,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.07405588699998589,0,,,,,
0802,1.6,0.00784313725490196,blur_noise,nominal,1.067832808999924,8,576.0,576.0,0.0,636.62548828125,1649.359375
0802,1.6,0.00784313725490196,blur_noise,oracle_blur,1.0748667950000481,8,576.0,576.0,1.8084490875480697e-05,636.62548828125,1649.359375
0802,1.6,0.00784313725490196,blur_noise,operator_0.8,1.074424291000014,8,576.0,576.0,0.0,636.62548828125,1649.359375
0802,1.6,0.00784313725490196,blur_noise,operator_1.2,1.0796313050000208,8,576.0,576.0,0.0,636.62548828125,1649.359375
0802,1.6,0.00784313725490196,blur_noise,rotation_90,1.0761449170000787,8,576.0,576.0,0.0,636.62548828125,1649.359375
