scenario,model,mean_mse,mean_detail_mse,sources,observations,pooled_psnr_db
blur_noise,dpir_nominal,0.0007387761635914939,0.000337209654291969,4,4,31.314871253970416
blur_noise,dpir_oracle_blur,0.00033247618762801903,0.00022527912336067622,4,4,34.78239453976161
blur_noise,drunet_denoise_only,0.0010227266762950476,0.0003822540043914252,4,4,29.902404159819813
blur_noise,gradient_nominal,0.0008277576891697346,0.0003662296499472134,4,4,30.820967763282635
blur_noise,observed,0.0010607705535958063,0.00042341893435317925,4,4,29.74378544546722
blur_noise_jpeg,dpir_nominal,0.000986872098879169,0.0005126494802823365,4,4,30.057391293469287
blur_noise_jpeg,dpir_oracle_blur,0.000965353454550769,0.0005056020205060578,4,4,30.153136449404467
blur_noise_jpeg,drunet_denoise_only,0.0010577746754098006,0.0003886691248951551,4,4,29.756068348037395
blur_noise_jpeg,gradient_nominal,0.0008975633263123716,0.00037907455634018244,4,4,30.469349006350942
blur_noise_jpeg,observed,0.0010770615427735124,0.0004019989059329725,4,4,29.67759480617228
