source_id,true_sigma,noise_std,scenario,variant,iteration,rho,denoiser_sigma,iterate_change_mse,measurement_residual_mse
0801,1.6,0.00784313725490196,blur_noise,nominal,1,0.0003831736685242504,0.1921568661928177,0.00026246471679769456,0.0002593221142888069
0801,1.6,0.00784313725490196,blur_noise,nominal,2,0.0009556531440466642,0.12167562544345856,5.125744792167097e-05,0.00015894492389634252
0801,1.6,0.00784313725490196,blur_noise,nominal,3,0.0023834437597543,0.07704620808362961,2.7494092137203552e-05,0.0001075098043656908
0801,1.6,0.00784313725490196,blur_noise,nominal,4,0.005944420117884874,0.04878642410039902,1.4448361071117688e-05,8.166291081579402e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,5,0.014825660735368729,0.03089204803109169,7.752440978947561e-06,6.905529153300449e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,6,0.03697589039802551,0.019561151042580605,4.153207555646077e-06,6.268099969020113e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,7,0.09221960604190826,0.012386314570903778,1.982902858799207e-06,5.950075501459651e-05
0801,1.6,0.00784313725490196,blur_noise,nominal,8,0.22999997437000275,0.007843137718737125,7.629603260284057e-07,5.793322270619683e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,1,0.0003831736685242504,0.1921568661928177,0.0004395657160785049,0.0002159321738872677
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,2,0.0009556531440466642,0.12167562544345856,8.20260465843603e-05,0.00013255843077786267
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,3,0.0023834437597543,0.07704620808362961,4.3268180888844654e-05,9.207426774082705e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,4,0.005944420117884874,0.04878642410039902,2.3729351596557535e-05,7.299673598026857e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,5,0.014825660735368729,0.03089204803109169,1.0498302799533121e-05,6.491816748166457e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,6,0.03697589039802551,0.019561151042580605,4.0750928747002035e-06,6.148347165435553e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,7,0.09221960604190826,0.012386314570903778,1.7078297105399542e-06,5.9970356232952327e-05
0801,1.6,0.00784313725490196,blur_noise,oracle_blur,8,0.22999997437000275,0.007843137718737125,7.752591386633867e-07,5.9159548982279375e-05
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,1,0.0003831736685242504,0.1921568661928177,0.0002697026066016406,0.00027210311964154243
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,2,0.0009556531440466642,0.12167562544345856,4.932239608024247e-05,0.00016675789083819836
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,3,0.0023834437597543,0.07704620808362961,2.6194489691988565e-05,0.0001118067157221958
0801,1.6,0.00784313725490196,blur_noise,operator_0.8,4,0.005944420117884874,0.04878642410039902,1.3386218597588595e-05,8.419715595664456e-05
