source_id,true_sigma,noise_std,scenario,model,mse,psnr_db,detail_mse
0801,1.6,0.00784313725490196,blur_noise,observed,0.0005517382981011456,32.58266869084283,0.00019736618272900872
0801,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.0004023844832053559,33.953587749407504,0.0001530425182053485
0801,1.6,0.00784313725490196,blur_noise,dpir_nominal,0.00034826041521021775,34.58095886531601,0.00013528801328307693
0801,1.6,0.00784313725490196,blur_noise,dpir_oracle_blur,0.00016456676984320621,37.83657855215417,9.91267110840791e-05
0801,1.6,0.00784313725490196,blur_noise,drunet_denoise_only,0.0005081697766855044,32.93991168110975,0.00015455096609223422
0801,1.6,0.00784313725490196,blur_noise_jpeg,observed,0.0005401965469698652,32.674481962254404,0.0001663694330681154
0801,1.6,0.00784313725490196,blur_noise_jpeg,gradient_nominal,0.00043308017122319005,33.634317001895525,0.0001552780874919902
0801,1.6,0.00784313725490196,blur_noise_jpeg,dpir_nominal,0.0005587138570715254,32.528105572507734,0.0003010350581549552
0801,1.6,0.00784313725490196,blur_noise_jpeg,dpir_oracle_blur,0.000514158129336569,32.88903293190008,0.0002427822939966989
0801,1.6,0.00784313725490196,blur_noise_jpeg,drunet_denoise_only,0.0005274911448604772,32.777848265904794,0.0001578159677482036
0802,1.6,0.00784313725490196,blur_noise,observed,0.0006792701082287694,31.67957496430814,0.0002779807105908801
0802,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.0005285964434654644,32.76875763240857,0.00022984576488111873
0802,1.6,0.00784313725490196,blur_noise,dpir_nominal,0.0004832620558344525,33.15817302913338,0.00021422436506305756
0802,1.6,0.00784313725490196,blur_noise,dpir_oracle_blur,0.0002746872287605845,35.61161532089236,0.00016721870363843342
0802,1.6,0.00784313725490196,blur_noise,drunet_denoise_only,0.0006459378361123457,31.898092757083717,0.00023814319308110808
0802,1.6,0.00784313725490196,blur_noise_jpeg,observed,0.0007101691125158193,31.486382204540732,0.00025955167683207873
0802,1.6,0.00784313725490196,blur_noise_jpeg,gradient_nominal,0.0006192831276310664,32.081107521824904,0.0002469058555058093
0802,1.6,0.00784313725490196,blur_noise_jpeg,dpir_nominal,0.0006022606107324956,32.20215539786277,0.00025932551139104494
0802,1.6,0.00784313725490196,blur_noise_jpeg,dpir_oracle_blur,0.0006753663502310327,31.704605816529895,0.000307195114414147
0802,1.6,0.00784313725490196,blur_noise_jpeg,drunet_denoise_only,0.000689665468601744,31.613615184958373,0.0002451388538243214
0803,1.6,0.00784313725490196,blur_noise,observed,0.0007830532590210383,31.062086985904106,0.00023463597610040986
0803,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.0005577622239255963,32.53550902935188,0.0001823281699378855
0803,1.6,0.00784313725490196,blur_noise,dpir_nominal,0.0004726958553949495,33.254182055815676,0.0001550458820071076
0803,1.6,0.00784313725490196,blur_noise,dpir_oracle_blur,0.00011343574008849732,39.45250091141938,6.33140430115416e-05
0803,1.6,0.00784313725490196,blur_noise,drunet_denoise_only,0.0007395998925786418,31.310031605908883,0.00019112973004486699
0803,1.6,0.00784313725490196,blur_noise_jpeg,observed,0.0007992841560963134,30.972987957979715,0.00021377364732371706
0803,1.6,0.00784313725490196,blur_noise_jpeg,gradient_nominal,0.0006297656064780769,32.00821061267994,0.0001948002048951637
0803,1.6,0.00784313725490196,blur_noise_jpeg,dpir_nominal,0.0007145918585761845,31.45941936070298,0.00031952266552080137
0803,1.6,0.00784313725490196,blur_noise_jpeg,dpir_oracle_blur,0.0008599477637807829,30.655279285131275,0.0003991977446797691
0803,1.6,0.00784313725490196,blur_noise_jpeg,drunet_denoise_only,0.0007724095645060837,31.121523571265936,0.00019663012268991744
0804,1.6,0.00784313725490196,blur_noise,observed,0.002229020549032272,26.518859278005213,0.0009836928679924184
0804,1.6,0.00784313725490196,blur_noise,gradient_nominal,0.0018222876060825215,27.393830785829234,0.0008997021467645007
0804,1.6,0.00784313725490196,blur_noise,dpir_nominal,0.001650886327926356,27.822828291320477,0.0008442803568146339
0804,1.6,0.00784313725490196,blur_noise,dpir_oracle_blur,0.000777215011819788,31.09458819642591,0.0005714570357086508
0804,1.6,0.00784313725490196,blur_noise,drunet_denoise_only,0.0021971991998036983,26.581305678160263,0.0009451921283474915
0804,1.6,0.00784313725490196,blur_noise_jpeg,observed,0.0022585963555120515,26.46161376975712,0.0009683008665079787
0804,1.6,0.00784313725490196,blur_noise_jpeg,gradient_nominal,0.0019081243999171532,27.19393314937786,0.0009193140774677666
0804,1.6,0.00784313725490196,blur_noise_jpeg,dpir_nominal,0.0020719220691364703,26.836265836664257,0.0011707146860625444
0804,1.6,0.00784313725490196,blur_noise_jpeg,dpir_oracle_blur,0.0018119415748546915,27.418558100407115,0.001073232928933616
0804,1.6,0.00784313725490196,blur_noise_jpeg,drunet_denoise_only,0.002241532523670897,26.494549553267067,0.0009550915553181781
