region,score,coverage,available_patches,retained_patches,rgb_mse,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1,source_id,true_sigma,noise_std,scenario
textured_quartile,image_transform_spread_detail,0.9,256,231,0.0008555323771359804,0.0003397279277464155,0.1471861471861472,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_transform_spread_detail,1.0,256,256,0.0010178018367172545,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.5,256,128,0.0005384056637617002,0.0002243938048735447,0.015625,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.75,256,192,0.0006853422235079047,0.0002796274039694275,0.07291666666666667,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,0.9,256,231,0.000834803466704972,0.0003381030334266376,0.14285714285714285,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,operator_spread_rgb,1.0,256,256,0.0010178018367172545,0.00039192340802613536,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.5,256,128,0.001014895155514217,0.0003862326253050382,0.1875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.75,256,192,0.0009723688039138355,0.0003748219342736664,0.1875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,0.9,256,231,0.0009834678257174248,0.000377723712188139,0.18614718614718614,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,measurement_residual,1.0,256,256,0.0010178018367172545,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.5,256,128,0.0005879677136523529,0.00023969035248654132,0.03125,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.75,256,192,0.0006997968664037378,0.000277566118792388,0.07291666666666667,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,0.9,256,231,0.000871375359827304,0.00034278420660692867,0.1471861471861472,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,image_gradient,1.0,256,256,0.0010178018367172545,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.5,256,128,0.0010178018367172548,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.75,256,192,0.0010178018367172548,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,0.9,256,231,0.0010178018367172548,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,random_expected,1.0,256,256,0.0010178018367172548,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.5,256,128,0.0004479198361044235,0.0001264533239389222,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.75,256,192,0.0006384037489873398,0.00022676691610103196,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,0.9,256,231,0.0008256199438690611,0.0003041384893355427,0.11255411255411256,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
textured_quartile,oracle_detail_error,1.0,256,256,0.0010178018367172545,0.0003919234080261353,0.19921875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise
all,operator_spread_detail,0.5,1024,512,0.00011008992829220921,4.0771943092036567e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_detail,0.75,1024,768,0.00017507609859302394,6.38802178456616e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_detail,0.9,1024,922,0.0002607170946026265,9.609551203381024e-05,0.015184381778741865,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_detail,1.0,1024,1024,0.0005587138570715256,0.0003010350581549552,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_transform_spread_detail,0.5,1024,512,0.00011863662276991827,4.6084939166635596e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_transform_spread_detail,0.75,1024,768,0.00018849102326782543,7.154088567003153e-05,0.0026041666666666665,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_transform_spread_detail,0.9,1024,922,0.0002612029993264652,9.686620343101726e-05,0.015184381778741865,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_transform_spread_detail,1.0,1024,1024,0.0005587138570715255,0.0003010350581549552,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_rgb,0.5,1024,512,0.00011366303651812117,4.4132830982513476e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_rgb,0.75,1024,768,0.0001700511865030277,6.359371020931548e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_rgb,0.9,1024,922,0.000251398820590355,9.317863269445734e-05,0.009761388286334056,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,operator_spread_rgb,1.0,1024,1024,0.0005587138570715256,0.0003010350581549552,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,measurement_residual,0.5,1024,512,0.0001794013600477989,8.658193089940242e-05,0.01171875,0.001953125,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,measurement_residual,0.75,1024,768,0.00031282110203479296,0.00016379847888502806,0.041666666666666664,0.009114583333333334,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,measurement_residual,0.9,1024,922,0.000427910555375653,0.0002187034598086445,0.07049891540130152,0.015184381778741865,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,measurement_residual,1.0,1024,1024,0.0005587138570715257,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_gradient,0.5,1024,512,0.00014162781181611484,6.163534894043219e-05,0.001953125,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_gradient,0.75,1024,768,0.0001934276743686934,8.28004411483188e-05,0.01171875,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_gradient,0.9,1024,922,0.0002795870096394084,0.00012573628978887466,0.028199566160520606,0.0032537960954446853,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,image_gradient,1.0,1024,1024,0.0005587138570715256,0.0003010350581549552,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,random_expected,0.5,1024,512,0.0005587138570715256,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,random_expected,0.75,1024,768,0.0005587138570715256,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,random_expected,0.9,1024,922,0.0005587138570715256,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,random_expected,1.0,1024,1024,0.0005587138570715256,0.00030103505815495514,0.0908203125,0.0263671875,0.0009765625,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,oracle_detail_error,0.5,1024,512,8.992536068245656e-05,2.5299764720502874e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
all,oracle_detail_error,0.75,1024,768,0.00015292196472062525,4.427700403302766e-05,0.0,0.0,0.0,0801,1.6,0.00784313725490196,blur_noise_jpeg
