chain_id,method,sources,mean_mse,mse_bootstrap_ci_low,mse_bootstrap_ci_high,mean_psnr_db,psnr_db_bootstrap_ci_low,psnr_db_bootstrap_ci_high,mean_detail_mse,detail_mse_bootstrap_ci_low,detail_mse_bootstrap_ci_high,mean_bad_detail_rate_0.025,bad_detail_rate_0.025_bootstrap_ci_low,bad_detail_rate_0.025_bootstrap_ci_high,mean_bad_detail_rate_0.05,bad_detail_rate_0.05_bootstrap_ci_low,bad_detail_rate_0.05_bootstrap_ci_high,mean_bad_detail_rate_0.1,bad_detail_rate_0.1_bootstrap_ci_low,bad_detail_rate_0.1_bootstrap_ci_high
j50_b16_n2,dpir_nominal,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,31.66024736193926,30.555685973329535,32.750719723836085,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,fbcnn,40,0.00019720480096830007,0.0001492543951084939,0.00025416028310391923,38.42512066745997,37.32896768693955,39.471858156925826,1.7223044507770066e-05,1.2150016840191395e-05,2.3272199326376402e-05,2.44140625e-05,0.0,7.32421875e-05,0.0,0.0,0.0,0.0,0.0,0.0
j50_b16_n2,fbcnn_dpir_nominal,40,0.00013429425671932708,0.00010435147406254218,0.0001698069030535422,39.8605509647645,38.859234181258785,40.82050460828365,1.4494509337167319e-05,1.0405877880153316e-05,1.9344876418059833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j50_b16_n2,fbcnn_gradient_nominal,40,0.000142533417387292,0.00010982888069129616,0.00018132952094479835,39.65689445445376,38.6353232888588,40.63254788111557,1.5203655048428907e-05,1.0878391752609307e-05,2.0333853421873643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j50_b16_n2,gradient_nominal,40,0.00020361732427503351,0.00016888038481745725,0.0002444064073002614,37.563003948469884,36.80895243250548,38.25950647248206,3.184907615610306e-05,2.616704246207277e-05,3.853829833163728e-05,2.44140625e-05,0.0,7.32421875e-05,0.0,0.0,0.0,0.0,0.0,0.0
j50_b16_n2,observed,40,0.00023783554102565328,0.00018839359488771114,0.0002956882459573294,37.17626472546462,36.27409899780214,38.0080100618363,3.394282067703563e-05,2.7442187466301572e-05,4.1587877967844314e-05,4.8828125e-05,0.0,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0
j75_b12_n2,dpir_nominal,40,0.00023803954909625702,0.00017479556250631615,0.00031538550209079836,37.93783863066655,36.72303323347836,39.160939881633674,0.00017619354899722818,0.00011971753042285514,0.0002441809084028257,0.059521484375,0.0397216796875,0.08308166503906249,0.0208251953125,0.0124017333984375,0.030933227539062493,0.000732421875,0.0001220703125,0.0015869140625
j75_b12_n2,fbcnn,40,8.981189467700669e-05,6.837561541607693e-05,0.00011495213025385656,41.76445208294275,40.701596987670776,42.77522084952443,1.134712906878065e-05,8.285974948515908e-06,1.4918384684198567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b12_n2,fbcnn_dpir_nominal,40,4.7208280848582176e-05,3.865488949931977e-05,5.679079188296741e-05,44.05140007992658,43.201424384272364,44.886346597844934,8.332917226891245e-06,6.381573891439461e-06,1.0553636232583889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j75_b12_n2,fbcnn_gradient_nominal,40,5.303495435839271e-05,4.293830550104416e-05,6.467671591439854e-05,43.592047114506414,42.718955723922484,44.422130308767365,9.356869969517502e-06,7.1783293796506106e-06,1.1848894069534522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
