chain_id,pipeline,region,score,score_key,score_role,coverage,sources,mean_rgb_mse,rgb_mse_bootstrap_ci_low,rgb_mse_bootstrap_ci_high,mean_detail_mse,detail_mse_bootstrap_ci_low,detail_mse_bootstrap_ci_high,mean_bad_detail_rate_0.025,bad_detail_rate_0.025_bootstrap_ci_low,bad_detail_rate_0.025_bootstrap_ci_high,mean_bad_detail_rate_0.05,bad_detail_rate_0.05_bootstrap_ci_low,bad_detail_rate_0.05_bootstrap_ci_high,mean_bad_detail_rate_0.1,bad_detail_rate_0.1_bootstrap_ci_low,bad_detail_rate_0.1_bootstrap_ci_high
j50_b16_n2,dpir_nominal,all,expected_random,dpir_nominal__expected_random,evaluation_only,0.5,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,dpir_nominal,all,expected_random,dpir_nominal__expected_random,evaluation_only,0.75,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,dpir_nominal,all,expected_random,dpir_nominal__expected_random,evaluation_only,0.9,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,dpir_nominal,all,expected_random,dpir_nominal__expected_random,evaluation_only,1.0,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,dpir_nominal,all,image_transform_spread_detail,dpir_nominal__score__image_transform_spread_detail,operational,0.5,40,0.00020644652532612225,0.00010401595063398035,0.00034274801185757713,0.00011047179775663433,2.4593630199054403e-05,0.00022403542128690066,0.0373046875,0.0029296875,0.08291137695312499,0.01220703125,0.000341796875,0.0279296875,0.00029296875,0.0,0.000830078125
j50_b16_n2,dpir_nominal,all,image_transform_spread_detail,dpir_nominal__score__image_transform_spread_detail,operational,0.75,40,0.0003851747752171484,0.00021992438301973976,0.0005977065295385345,0.0002505935928946784,0.00011059494228160729,0.00042896124589485396,0.07796223958333331,0.03274739583333332,0.1346720377604166,0.031380208333333326,0.010188802083333323,0.05846354166666665,0.0014322916666666627,3.25520833333325e-05,0.0034830729166666604
j50_b16_n2,dpir_nominal,all,image_transform_spread_detail,dpir_nominal__score__image_transform_spread_detail,operational,0.9,40,0.0006355510625392319,0.00042736238778651875,0.0008912456575574641,0.00046068255647222,0.0002844045408711189,0.0006762559799630291,0.13853036876355745,0.08684924078091102,0.1991879067245119,0.060981561822125795,0.03435398590021689,0.09341241865509757,0.0034164859002169027,0.0010574837310195074,0.006670281995661581
j50_b16_n2,dpir_nominal,all,image_transform_spread_detail,dpir_nominal__score__image_transform_spread_detail,operational,1.0,40,0.0009474087868729601,0.000714508204737217,0.001222641936744082,0.000728796967776022,0.0005301939496658864,0.0009624564829394836,0.200244140625,0.148997802734375,0.25966796875,0.1001708984375,0.0703607177734375,0.1346685791015625,0.007421875,0.0039544677734375,0.0120361328125
j50_b16_n2,dpir_nominal,all,operator_spread_detail,dpir_nominal__score__operator_spread_detail,operational,0.5,40,0.00015915486459370756,9.417311418557955e-05,0.00024418421519898037,6.811770731913426e-05,1.95646269268743e-05,0.00013328923432378653,0.030029296875,0.000927734375,0.06987426757812498,0.00234375,0.0,0.00615234375,0.0,0.0,0.0
j50_b16_n2,dpir_nominal,all,operator_spread_detail,dpir_nominal__score__operator_spread_detail,operational,0.75,40,0.00029982399224863694,0.0001802128467171137,0.0004535000997852896,0.00017004166212919902,7.394021384440053e-05,0.00029491418600970966,0.06780598958333331,0.02346923828124998,0.12360026041666665,0.016731770833333326,0.0030273437499999927,0.03639322916666665,0.0,0.0,0.0
